p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,random,logistic_topr,36,5,0,35
0.01,0.02,1,random,logistic_topr,26,2,0,25
0.01,0.02,1,random,logistic_topr,81,5,0,80
0.01,0.02,1,random,logistic_topr,17,1,0,16
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,23,4,0,22
0.01,0.02,1,random,logistic_topr,74,1,0,73
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,55,1,0,54
0.01,0.02,1,random,logistic_topr,35,1,0,34
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,52,2,0,51
0.01,0.02,1,random,logistic_topr,77,3,0,76
0.01,0.02,1,random,logistic_topr,58,5,0,57
0.01,0.02,1,random,logistic_topr,14,1,0,13
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,52,5,0,51
0.01,0.02,1,random,logistic_topr,53,1,0,52
0.01,0.02,1,random,logistic_topr,67,3,0,66
0.01,0.02,1,random,logistic_topr,49,5,0,48
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,16,5,0,15
0.01,0.02,1,random,logistic_topr,34,2,0,33
0.01,0.02,1,random,logistic_topr,24,2,0,23
0.01,0.02,1,random,logistic_topr,74,1,0,73
0.01,0.02,1,random,logistic_topr,33,5,0,32
0.01,0.02,1,random,logistic_topr,20,1,0,19
0.01,0.02,1,random,logistic_topr,53,5,0,52
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,75,1,0,74
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,25,1,0,24
0.01,0.02,1,random,logistic_topr,25,1,0,24
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,23,4,0,22
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,24,4,0,23
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,85,1,0,84
0.01,0.02,1,random,logistic_topr,40,1,0,39
0.01,0.02,1,random,logistic_topr,31,1,0,30
0.01,0.02,1,random,logistic_topr,32,3,0,31
0.01,0.02,1,random,logistic_topr,24,1,0,23
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,37,2,0,36
0.01,0.02,1,random,logistic_topr,32,2,0,31
0.01,0.02,1,random,logistic_topr,26,2,0,25
0.01,0.02,1,random,logistic_topr,62,4,0,61
0.01,0.02,1,random,logistic_topr,24,2,0,23
0.01,0.02,1,random,logistic_topr,72,1,0,71
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,17,4,0,16
0.01,0.02,1,random,logistic_topr,49,4,0,48
0.01,0.02,1,random,logistic_topr,69,1,0,68
0.01,0.02,1,random,logistic_topr,30,4,0,29
0.01,0.02,1,random,logistic_topr,43,4,0,42
0.01,0.02,1,random,logistic_topr,13,2,0,12
0.01,0.02,1,random,logistic_topr,56,3,0,55
0.01,0.02,1,random,logistic_topr,22,1,0,21
0.01,0.02,1,random,logistic_topr,22,1,0,21
0.01,0.02,1,random,logistic_topr,16,2,0,15
0.01,0.02,1,random,logistic_topr,41,2,0,40
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,44,3,0,43
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,40,1,0,39
0.01,0.02,1,random,logistic_topr,21,5,0,20
0.01,0.02,1,random,logistic_topr,41,5,0,40
0.01,0.02,1,random,logistic_topr,39,3,0,38
0.01,0.02,1,random,logistic_topr,78,1,0,77
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,71,5,0,70
0.01,0.02,1,random,logistic_topr,17,2,0,16
0.01,0.02,1,random,logistic_topr,27,3,0,26
0.01,0.02,1,random,logistic_topr,27,5,0,26
0.01,0.02,1,random,logistic_topr,72,1,0,71
0.01,0.02,1,random,logistic_topr,47,2,0,46
0.01,0.02,1,random,logistic_topr,97,1,0,96
0.01,0.02,1,random,logistic_topr,63,3,0,62
0.01,0.02,1,random,logistic_topr,39,3,0,38
0.01,0.02,1,random,logistic_topr,28,3,0,27
0.01,0.02,1,random,logistic_topr,31,1,0,30
0.01,0.02,1,random,logistic_topr,34,1,0,33
0.01,0.02,1,random,logistic_topr,60,1,0,59
0.01,0.02,1,random,logistic_topr,77,3,0,76
0.01,0.02,1,random,logistic_topr,43,5,0,42
0.01,0.02,1,random,logistic_topr,44,5,0,43
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,23,2,0,22
0.01,0.02,1,random,logistic_topr,44,1,0,43
0.01,0.02,1,random,logistic_topr,71,2,0,70
0.01,0.02,1,random,logistic_topr,17,3,0,16
0.01,0.02,1,random,logistic_topr,61,1,0,60
0.01,0.02,1,random,logistic_topr,25,5,0,24
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,39,2,0,38
0.01,0.02,1,random,logistic_topr,28,3,0,27
0.01,0.02,1,random,logistic_topr,80,1,0,79
0.01,0.02,1,random,logistic_topr,35,4,0,34
0.01,0.02,1,random,logistic_topr,15,2,0,14
0.01,0.02,1,random,logistic_topr,44,1,0,43
0.01,0.02,1,random,logistic_topr,19,1,0,18
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,46,1,0,45
0.01,0.02,1,random,logistic_topr,49,1,0,48
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,34,1,0,33
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,26,3,0,25
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,42,1,0,41
0.01,0.02,1,random,logistic_topr,20,4,0,19
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,22,3,0,21
0.01,0.02,1,random,logistic_topr,66,1,0,65
0.01,0.02,1,random,logistic_topr,24,2,0,23
0.01,0.02,1,random,logistic_topr,34,2,0,33
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,26,3,0,25
0.01,0.02,1,random,logistic_topr,47,3,0,46
0.01,0.02,1,random,logistic_topr,33,1,0,32
0.01,0.02,1,random,logistic_topr,48,4,0,47
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,51,3,0,50
0.01,0.02,1,random,logistic_topr,48,4,0,47
0.01,0.02,1,random,logistic_topr,52,5,0,51
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,47,5,0,46
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,27,4,0,26
0.01,0.02,1,random,logistic_topr,15,3,0,14
0.01,0.02,1,random,logistic_topr,24,2,0,23
0.01,0.02,1,random,logistic_topr,50,1,0,49
0.01,0.02,1,random,logistic_topr,57,1,0,56
0.01,0.02,1,random,logistic_topr,49,1,0,48
0.01,0.02,1,random,logistic_topr,64,1,0,63
0.01,0.02,1,random,logistic_topr,11,2,0,10
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,19,3,0,18
0.01,0.02,1,random,logistic_topr,51,1,0,50
0.01,0.02,1,random,logistic_topr,27,3,0,26
0.01,0.02,1,random,logistic_topr,17,3,0,16
0.01,0.02,1,random,logistic_topr,67,1,0,66
0.01,0.02,1,random,logistic_topr,39,2,0,38
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,23,3,0,22
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,22,1,0,21
0.01,0.02,1,random,logistic_topr,44,1,0,43
0.01,0.02,1,random,logistic_topr,22,4,0,21
0.01,0.02,1,random,logistic_topr,53,1,0,52
0.01,0.02,1,random,logistic_topr,38,5,0,37
0.01,0.02,1,random,logistic_topr,79,1,0,78
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,26,5,0,25
0.01,0.02,1,random,logistic_topr,60,1,0,59
0.01,0.02,1,random,logistic_topr,72,1,0,71
0.01,0.02,1,random,logistic_topr,26,4,0,25
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,67,1,0,66
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,41,3,0,40
0.01,0.02,1,random,logistic_topr,20,4,0,19
0.01,0.02,1,random,logistic_topr,62,1,0,61
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,37,1,0,36
0.01,0.02,1,random,logistic_topr,40,2,0,39
0.01,0.02,1,random,logistic_topr,60,1,0,59
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,14,1,0,13
0.01,0.02,1,random,logistic_topr,60,3,0,59
0.01,0.02,1,random,logistic_topr,71,1,0,70
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,28,3,0,27
0.01,0.02,1,random,logistic_topr,16,2,0,15
0.01,0.02,1,random,logistic_topr,83,1,0,82
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,30,4,0,29
0.01,0.02,1,random,logistic_topr,18,3,0,17
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,40,2,0,39
0.01,0.02,1,random,logistic_topr,63,1,0,62
0.01,0.02,1,random,logistic_topr,72,1,0,71
0.01,0.02,1,random,logistic_topr,64,1,0,63
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,34,2,0,33
0.01,0.02,1,random,logistic_topr,42,1,0,41
0.01,0.02,1,random,logistic_topr,23,1,0,22
0.01,0.02,1,random,logistic_topr,32,5,0,31
0.01,0.02,1,random,logistic_topr,80,1,0,79
0.01,0.02,1,random,logistic_topr,60,1,0,59
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,32,5,0,31
0.01,0.02,1,random,logistic_topr,28,3,0,27
0.01,0.02,1,random,logistic_topr,13,3,0,12
0.01,0.02,1,random,logistic_topr,44,2,0,43
0.01,0.02,1,random,logistic_topr,17,1,0,16
0.01,0.02,1,random,logistic_topr,52,1,0,51
0.01,0.02,1,random,logistic_topr,22,4,0,21
0.01,0.02,1,random,logistic_topr,33,2,0,32
0.01,0.02,1,random,logistic_topr,44,2,0,43
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,23,1,0,22
0.01,0.02,1,random,logistic_topr,24,4,0,23
0.01,0.02,1,random,logistic_topr,16,1,0,15
0.01,0.02,1,random,logistic_topr,77,3,0,76
0.01,0.02,1,random,logistic_topr,71,1,0,70
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,32,3,0,31
0.01,0.02,1,random,logistic_topr,26,3,0,25
0.01,0.02,1,random,logistic_topr,19,3,0,18
0.01,0.02,1,random,logistic_topr,25,1,0,24
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,5,3,0,4
0.01,0.02,1,random,logistic_topr,37,1,0,36
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,77,1,0,76
0.01,0.02,1,random,logistic_topr,14,2,0,13
0.01,0.02,1,random,logistic_topr,60,1,0,59
0.01,0.02,1,random,logistic_topr,20,5,0,19
0.01,0.02,1,random,logistic_topr,10,5,0,9
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,34,3,0,33
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,32,4,0,31
0.01,0.02,1,random,logistic_topr,32,3,0,31
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,35,1,0,34
0.01,0.02,1,random,logistic_topr,23,2,0,22
0.01,0.02,1,random,logistic_topr,23,5,0,22
0.01,0.02,1,random,logistic_topr,70,1,0,69
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,82,1,0,81
0.01,0.02,1,random,logistic_topr,21,3,0,20
0.01,0.02,1,random,logistic_topr,51,1,0,50
0.01,0.02,1,random,logistic_topr,11,1,0,10
0.01,0.02,1,random,logistic_topr,26,4,0,25
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,51,2,0,50
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,28,3,0,27
0.01,0.02,1,random,logistic_topr,21,4,0,20
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,69,1,0,68
0.01,0.02,1,random,logistic_topr,19,5,0,18
0.01,0.02,1,random,logistic_topr,18,1,0,17
0.01,0.02,1,random,logistic_topr,20,1,0,19
0.01,0.02,1,random,logistic_topr,34,1,0,33
0.01,0.02,1,random,logistic_topr,48,1,0,47
0.01,0.02,1,random,logistic_topr,22,4,0,21
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,21,2,0,20
0.01,0.02,1,random,logistic_topr,23,4,0,22
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,22,3,0,21
0.01,0.02,1,random,logistic_topr,55,5,0,54
0.01,0.02,1,random,logistic_topr,37,2,0,36
0.01,0.02,1,random,logistic_topr,79,1,0,78
0.01,0.02,1,random,logistic_topr,36,5,0,35
0.01,0.02,1,random,logistic_topr,70,1,0,69
0.01,0.02,1,random,logistic_topr,66,1,0,65
0.01,0.02,1,random,logistic_topr,25,5,0,24
0.01,0.02,1,random,logistic_topr,40,4,0,39
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,25,3,0,24
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,50,1,0,49
0.01,0.02,1,random,logistic_topr,82,5,0,81
0.01,0.02,1,random,logistic_topr,74,4,0,73
0.01,0.02,1,random,logistic_topr,13,2,0,12
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,41,2,0,40
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,16,3,0,15
0.01,0.02,1,random,logistic_topr,49,3,0,48
0.01,0.02,1,random,logistic_topr,12,1,0,11
0.01,0.02,1,random,logistic_topr,78,1,0,77
0.01,0.02,1,random,logistic_topr,28,4,0,27
0.01,0.02,1,random,logistic_topr,42,5,0,41
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,20,4,0,19
0.01,0.02,1,random,logistic_topr,21,1,0,20
0.01,0.02,1,random,logistic_topr,33,1,0,32
0.01,0.02,1,random,logistic_topr,29,2,0,28
0.01,0.02,1,random,logistic_topr,45,4,0,44
0.01,0.02,1,random,logistic_topr,25,3,0,24
0.01,0.02,1,random,logistic_topr,52,1,0,51
0.01,0.02,1,random,logistic_topr,56,3,0,55
0.01,0.02,1,random,logistic_topr,65,1,0,64
0.01,0.02,1,random,logistic_topr,18,2,0,17
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,23,3,0,22
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,61,5,0,60
0.01,0.02,1,random,logistic_topr,36,5,0,35
0.01,0.02,1,random,logistic_topr,18,1,0,17
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,27,4,0,26
0.01,0.02,1,random,logistic_topr,65,1,0,64
0.01,0.02,1,random,logistic_topr,65,1,0,64
0.01,0.02,1,random,logistic_topr,35,4,0,34
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,30,5,0,29
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,36,5,0,35
0.01,0.02,1,random,logistic_topr,25,5,0,24
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,97,2,0,96
0.01,0.02,1,random,logistic_topr,62,1,0,61
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,84,1,0,83
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,24,2,0,23
0.01,0.02,1,random,logistic_topr,73,1,0,72
0.01,0.02,1,random,logistic_topr,25,1,0,24
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,60,1,0,59
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,17,1,0,16
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,30,3,0,29
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,24,1,0,23
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,33,1,0,32
0.01,0.02,1,random,logistic_topr,50,1,0,49
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,26,2,0,25
0.01,0.02,1,random,logistic_topr,66,1,0,65
0.01,0.02,1,random,logistic_topr,70,5,0,69
0.01,0.02,1,random,logistic_topr,30,3,0,29
0.01,0.02,1,random,logistic_topr,64,3,0,63
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,44,4,0,43
0.01,0.02,1,random,logistic_topr,26,4,0,25
0.01,0.02,1,random,logistic_topr,38,2,0,37
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,92,1,0,91
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,46,5,0,45
0.01,0.02,1,random,logistic_topr,34,4,0,33
0.01,0.02,1,random,logistic_topr,37,2,0,36
0.01,0.02,1,random,logistic_topr,29,2,0,28
0.01,0.02,1,random,logistic_topr,43,1,0,42
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,63,1,0,62
0.01,0.02,1,random,logistic_topr,23,3,0,22
0.01,0.02,1,random,logistic_topr,44,1,0,43
0.01,0.02,1,random,logistic_topr,55,1,0,54
0.01,0.02,1,random,logistic_topr,32,3,0,31
0.01,0.02,1,random,logistic_topr,16,2,0,15
0.01,0.02,1,random,logistic_topr,52,5,0,51
0.01,0.02,1,random,logistic_topr,40,2,0,39
0.01,0.02,1,random,logistic_topr,61,1,0,60
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,28,5,0,27
0.01,0.02,1,random,logistic_topr,61,1,0,60
0.01,0.02,1,random,logistic_topr,84,1,0,83
0.01,0.02,1,random,logistic_topr,67,1,0,66
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,39,5,0,38
0.01,0.02,1,random,logistic_topr,23,1,0,22
0.01,0.02,1,random,logistic_topr,35,3,0,34
0.01,0.02,1,random,logistic_topr,23,3,0,22
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,38,3,0,37
0.01,0.02,1,random,logistic_topr,25,5,0,24
0.01,0.02,1,random,logistic_topr,23,1,0,22
0.01,0.02,1,random,logistic_topr,48,3,0,47
0.01,0.02,1,random,logistic_topr,25,1,0,24
0.01,0.02,1,random,logistic_topr,19,1,0,18
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,66,1,0,65
0.01,0.02,1,random,logistic_topr,41,4,0,40
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,51,1,0,50
0.01,0.02,1,random,logistic_topr,20,1,0,19
0.01,0.02,1,random,logistic_topr,43,4,0,42
0.01,0.02,1,random,logistic_topr,20,5,0,19
0.01,0.02,1,random,logistic_topr,18,1,0,17
0.01,0.02,1,random,logistic_topr,74,1,0,73
0.01,0.02,1,random,logistic_topr,72,3,0,71
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,62,1,0,61
0.01,0.02,1,random,logistic_topr,14,3,0,13
0.01,0.02,1,random,logistic_topr,33,1,0,32
0.01,0.02,1,random,logistic_topr,55,1,0,54
0.01,0.02,1,random,logistic_topr,25,1,0,24
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,50,2,0,49
0.01,0.02,1,random,logistic_topr,82,5,0,81
0.01,0.02,1,random,logistic_topr,26,5,0,25
0.01,0.02,1,random,logistic_topr,71,1,0,70
0.01,0.02,1,random,logistic_topr,61,4,0,60
0.01,0.02,1,random,logistic_topr,23,1,0,22
0.01,0.02,1,random,logistic_topr,55,1,0,54
0.01,0.02,1,random,logistic_topr,13,1,0,12
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,49,3,0,48
0.01,0.02,1,random,logistic_topr,43,1,0,42
0.01,0.02,1,random,logistic_topr,30,1,0,29
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,21,5,0,20
0.01,0.02,1,random,logistic_topr,16,2,0,15
0.01,0.02,1,random,logistic_topr,42,1,0,41
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,34,1,0,33
0.01,0.02,1,random,logistic_topr,15,2,0,14
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,18,1,0,17
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,44,2,0,43
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,73,2,0,72
0.01,0.02,1,random,logistic_topr,13,2,0,12
0.01,0.02,1,random,logistic_topr,65,1,0,64
0.01,0.02,1,random,logistic_topr,46,1,0,45
0.01,0.02,1,random,logistic_topr,84,1,0,83
0.01,0.02,1,random,logistic_topr,53,1,0,52
0.01,0.02,1,random,logistic_topr,53,1,0,52
0.01,0.02,1,random,logistic_topr,35,1,0,34
0.01,0.02,1,random,logistic_topr,34,4,0,33
0.01,0.02,1,random,logistic_topr,46,3,0,45
0.01,0.02,1,random,logistic_topr,36,5,0,35
0.01,0.02,1,random,logistic_topr,22,3,0,21
0.01,0.02,1,random,logistic_topr,18,3,0,17
0.01,0.02,1,random,logistic_topr,16,3,0,15
0.01,0.02,1,random,logistic_topr,22,2,0,21
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,41,1,0,40
0.01,0.02,1,random,logistic_topr,20,1,0,19
0.01,0.02,1,random,logistic_topr,27,4,0,26
0.01,0.02,1,random,logistic_topr,23,3,0,22
0.01,0.02,1,random,logistic_topr,54,3,0,53
0.01,0.02,1,random,logistic_topr,51,1,0,50
0.01,0.02,1,random,logistic_topr,26,3,0,25
0.01,0.02,1,random,logistic_topr,14,2,0,13
0.01,0.02,1,random,logistic_topr,56,2,0,55
0.01,0.02,1,random,logistic_topr,42,3,0,41
0.01,0.02,1,random,logistic_topr,27,1,0,26
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,73,1,0,72
0.01,0.02,1,random,logistic_topr,26,2,0,25
0.01,0.02,1,random,logistic_topr,32,4,0,31
0.01,0.02,1,random,logistic_topr,56,1,0,55
0.01,0.02,1,random,logistic_topr,72,3,0,71
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,81,1,0,80
0.01,0.02,1,random,logistic_topr,31,4,0,30
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,31,1,0,30
0.01,0.02,1,random,logistic_topr,13,1,0,12
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,17,1,0,16
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,48,1,0,47
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,40,5,0,39
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,37,1,0,36
0.01,0.02,1,random,logistic_topr,26,4,0,25
